Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
LG,Standard size dishwasher,LDP679#**,LDPN676**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF755#**,LDF755#**,245.0,2.5,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDT566#**,LDP567#**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDT566#**,LDT566#**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDS504#**,LDS504#**,279.0,3.4,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDS554#**,LDS554#**,279.0,3.4,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF777#**,LDS577#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF777#**,LDT996#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDF857#**,LSDF996#**,245.0,2.5,14.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,LDF857#**,UPDF989#**,245.0,2.5,14.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,LDF777#**,UPDF990#**,258.0,2.8,14.0,No,No,https://www.lg.com/us/dishwashers
LG SIGNATURE,Standard size dishwasher,LUDP899#**,LUDP899#**,269.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP679#**,LSDF989#**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP679#**,LDT780#**,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDT566#**,LDF567***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LUDP899#**,LSDT990#**,269.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDT680***,LDT680***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP679#**,LDP770***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDT566#**,LDT567***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,LUDP899#**,SKSDW24***,269.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP780***,LDP780***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
LG,Standard size dishwasher,LDP680***,LDP681***,258.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
Mueller,Standard size dishwasher,DW-1800,DW-1800,255.0,3.3,8.0,No,No,By annual report date
Mueller,Standard size dishwasher,DW-2400,DW-2400,270.0,3.2,12.0,No,No,By annual report date
Janska,Standard size dishwasher,DW-1800,DW-1800,255.0,3.3,8.0,No,No,By annual report date
Janska,Standard size dishwasher,DW-2400,DW-2400,270.0,3.2,12.0,No,No,By annual report date
EdgeStar,Standard size dishwasher,BIDW1802**,BIDW1802**,234.0,3.1,8.0,No,No,https://res.cloudinary.com/ldi/image/upload/v1670421245/EdgeStar/BIDW1802XX_Energy_Guide.pdf
EdgeStar,Compact dishwasher,DWP63**,DWP63**,155.0,2.0,6.0,No,No,https://res.cloudinary.com/ldi/image/upload/v1683720941/EdgeStar/DWP63XX_Energy_Guide.pdf
Seasons,Standard size dishwasher,WQP12-6503,SDF24P2A**,240.0,3.2,14.0,No,No,By annual report date
Galanz,Standard size dishwasher,GLDW09TS2A5A,GLDW09TS2A5A,270.0,3.1,12.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FDSH4501****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FDSH4501A_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGID2476****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/FGID2476S_EG.pdf
Frigidaire,Standard size dishwasher,FGIP2479SF1A,FGID2479****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/original/electrolux/electrolux%20assets/document/energy%20guide/FGID2479S_EG.pdf
Electrolux,Standard size dishwasher,FGIP2479SF1A,EDSH4944****,240.0,3.2,14.0,No,No,https://na2.electroluxmedia.com/Original/Electrolux/Electrolux%20Assets/Document/Energy%20Guide/EDSH4944A_EG.pdf
Frigidaire,Standard size dishwasher,GDPP4517,GDPP4517***A,268.0,3.5,12.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,GDPH4515,GDPH4515***A,270.0,3.5,12.0,No,No,By annual report date
Frigidaire,Standard size dishwasher,GDPH4515,GDPP4515***A,270.0,3.5,12.0,No,No,By annual report date
Fotile,Compact dishwasher,SD2F-P1X,SD2F-P1XL,169.0,2.5,2.0,Yes,No,By annual report date
MAGIC CHEF,Compact dishwasher,MCSCD6B5,312969761,203.0,3.1,6.0,No,No,https://mcappliance.com/media/energy_guides/MCSCD6B5_EnergyGuide.pdf
Midea,Standard size dishwasher,MDT24P5AST,4976188,260.0,3.0,28.0,No,No,https://www.midea.com/content/dam/midea-aem/us/dishwashers/dw_energyguides/MDT24P5AST.pdf
Fisher&Paykel,Standard size dishwasher,DW24UT2I2,DW24UT2I2,224.0,3.2,15.0,No,No,By annual report date
Fisher&Paykel,Standard size dishwasher,DW24UT2I2,DW24UNT2X2,224.0,3.2,15.0,No,No,By annual report date
Frigidaire Gallery,Standard size dishwasher,PDSH4816,GDSH4715****,270.0,3.5,12.0,No,No,By annual report date
Frigidaire Gallery,Standard size dishwasher,PDSH4816,GDSP4714****,270.0,3.5,12.0,No,No,By annual report date
Frigidaire Gallery,Standard size dishwasher,PDSH4816,GDSH4714****,270.0,3.5,12.0,No,No,By annual report date
Fisher&Paykel,Standard size dishwasher,DW24UNT4X2,DW24UT4I2,210.0,3.2,15.0,No,No,By annual report date
Fisher&Paykel,Standard size dishwasher,DW24UNT4X2,DW24UNT4X2,210.0,3.2,15.0,No,No,By annual report date
Bosch,Standard size dishwasher,SHX53CM**,SHE53C8**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX53CM**,SHS43CF**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX53CM**,SHS53C7**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
LG,Standard size dishwasher,LDFC242**,LDFC242**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
DECO HOME,Compact dishwasher,DGDISHW01,DGDISHW01,222.0,1.8,4.0,No,No,http://www.messati.cn/
ZOKOP,Compact dishwasher,WST5-A6B,WST5-A6B,215.0,1.8,4.0,No,No,http://www.messati.cn/
ROVSUN,Compact dishwasher,WST5-A6W,WST5-A6W,215.0,1.8,4.0,No,No,http://www.messati.cn/
ROVSUN,Compact dishwasher,WST5-A6B,WST5-A6B,215.0,1.8,4.0,No,No,http://www.messati.cn/
FINLUX,Standard size dishwasher,DW11UT22T124,ULBYA52A2S57I00,260.0,3.4,8.0,No,No,By annual report date
RCA,Standard size dishwasher,DW21UT22N224,RDW1830,250.0,3.2,8.0,No,No,By annual report date
COSTWAY,Compact dishwasher,WQP6-8201,FP10217,222.0,3.5,6.0,No,No,https://cdn1.costway.com/media/20220819/3200019828211.pdf
Equator,Standard size dishwasher,DW21UT22N224,WB 1840,250.0,3.2,10.0,No,No,By annual report date
Equator,Standard size dishwasher,DW11UT22T124,SBT 2440,260.0,3.4,10.0,No,No,By annual report date
Equator,Standard size dishwasher,DW11UT22T124,BBT 2440,260.0,3.4,10.0,No,No,By annual report date
ICUIRE,Compact dishwasher,ICD4WUP01,ICD4WUP02,121.0,1.8,3.0,No,No,https://www.amazon.com/stores/page/346471B3-4AB9-4241-9512-B8E33AB7E6C8?ingress=2&visitId=a879779f-3882-4b71-8db4-1bbb280a0973&ref_=ast_bln
SEASONS,Standard size dishwasher,PDT660#,SDW2FCM*,249.0,3.5,14.0,No,No,By annual report date
IAGREEA,Compact dishwasher,IA-DW01,IA-DW02,121.0,1.8,3.0,No,No,https://www.amazon.com/stores/page/BD6C00A6-2573-41D5-8AB4-168F8A75A707?ingress=2&visitId=259a7d0d-5ad8-4d0d-8a23-5e099fc9b803&ref_=ast_bln
RAZORRI,Compact dishwasher,CDW04A,CDW04A,121.0,1.8,3.0,No,No,By annual report date
Fisher & Paykel,Compact dishwasher,DD24STX6,DD24STX6PX1,113.0,1.7,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24STX6,DD24STX6I1,113.0,1.7,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24STX6,DD24STX6HI1,120.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DW24U,DW24U2I1,232.0,3.4,12.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DW24U,DW24U6I1,232.0,3.0,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24S(*)9,DD24SHTI9N,152.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24S(*)9,DD24SI9N,144.0,1.6,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DD24D(*)9,DD24DV2T9N,263.0,3.3,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24S**9,DD24SCTX9N,151.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Compact dishwasher,DD24S**9,DD24SCTW9N,151.0,1.8,7.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DD24D**9,DD24DCHTX9N,282.0,3.8,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DD24D**9,DD24DCTX9N,265.0,3.4,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Fisher & Paykel,Standard size dishwasher,DD24D**9,DD24DCTB9N,265.0,3.4,14.0,No,No,https://www.fisherpaykel.com/us/dishwashing/
Taj,Standard size dishwasher,WQP12-7739-US,WQP12-7739A-US,234.0,3.5,10.0,No,No,By annual report date
Serenity,Standard size dishwasher,WQP8-7740-US,WQP8-7740-US,234.0,3.1,8.0,No,No,By annual report date
Arctic Wind,Standard size dishwasher,PDT660#,ADW**24EL,249.0,3.5,14.0,No,No,https://arcticwindac.com/uploads/8/3/7/7/83772766/adww24el_adwb24el_adwss24el_energy_guide_label_crop.pdf
KOVA SELECT,Standard size dishwasher,WQP8-7740-US,WQP8-7714D-US,234.0,3.1,8.0,No,No,By annual report date
BRAMA,Standard size dishwasher,PDT660#,BR-DWSH01-S,249.0,3.5,14.0,No,No,By annual report date
Hestan,Standard size dishwasher,KDW24-OV,KDW24-OV,235.0,2.8,13.0,No,No,By annual report date
Hestan,Standard size dishwasher,KDW24-XX,KDW24-XX,235.0,2.8,13.0,No,No,By annual report date
THORKITCHEN,Standard size dishwasher,PDT660#,HDW2401SS,249.0,3.5,14.0,No,No,https://images.homedepot-static.com/catalog/pdfImages/29/291d534b-3095-46c1-82c7-3a35b9b4a108.pdf
VESTA,Compact dishwasher,WQP6-3601-US,DWV362CB,203.0,3.1,6.0,No,No,By annual report date
BEVOI,Standard size dishwasher,WQP8-7740-US,DDV18BEV**,234.0,3.1,8.0,No,No,By annual report date
Miele,Standard size dishwasher,G 5892 SCVi SL,G 5892 SCVi SL,200.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,PFD 104 SCViXXL,PFD 104 SCViXXL,270.0,3.3,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,PFD 104 SCViXXL,PFD 101U,270.0,3.3,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7366 SCVi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7366 SCVi SF,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5006 U,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5006 SCU,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5051 SCVi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5056 SCVi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5056 SCVi SF,230.0,3.2,16.0,No,No,https://www.miele.com/
LG,Standard size dishwasher,LDT780#**,LDT780#**,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
SIGNATURE KITCHEN SUITE,Standard size dishwasher,SKSDW24***,SKSDW24***,238.0,2.9,15.0,No,No,https://www.lg.com/us/dishwashers
hOme,Compact dishwasher,WQP6-3601-US,HME010033N,203.0,3.1,6.0,No,No,By annual report date
Farberware,Compact dishwasher,WQP4-2601C-US,FDW05ASWWHC,130.0,1.4,1.0,No,No,By annual report date
Farberware,Compact dishwasher,WQP6-3601-US,FCD06ASSWHB,203.0,3.1,6.0,No,No,By annual report date
WHYNTER,Compact dishwasher,WQP6-3601-US,CDW-6831WES,203.0,3.1,6.0,No,No,By annual report date
THORKITCHEN,Standard size dishwasher,PDT660#,CRW2405SS,249.0,3.5,14.0,No,No,By annual report date
THORKITCHEN,Standard size dishwasher,PDT660#,TKW2401U,249.0,3.5,14.0,No,No,By annual report date
Honeywell,Standard size dishwasher,PDT660#,HDS24SS,249.0,3.5,14.0,No,No,By annual report date
Zline,Standard size dishwasher,WQP8-7740-US,DW7714-18,234.0,3.1,8.0,No,No,By annual report date
SPT,Standard size dishwasher,PDT660#,SD-6501W,249.0,3.5,14.0,No,No,By annual report date
SPT,Standard size dishwasher,PDT660#,SD-6502SS,249.0,3.5,14.0,No,No,By annual report date
SPT,Standard size dishwasher,WQP12-7711I-US,SD-6513W,240.0,3.5,8.0,No,No,By annual report date
SPT,Compact dishwasher,WQP6-3601-US,SD-2225DW,203.0,3.1,6.0,No,No,By annual report date
SHARP,Standard size dishwasher,PDT660#,SDW6767HS,249.0,3.5,14.0,No,No,By annual report date
Whirlpool,Standard size dishwasher,WQP8-7740-US,UDT518SAHP,234.0,3.1,8.0,No,No,https://www.whirlpool.com/
MAGIC CHEF,Compact dishwasher,WQP6-3601-US,MCSCD6W5,203.0,3.1,6.0,No,No,https://mcappliance.com/media/energy_guides/MCSCD6W5_EnergyGuide.pdf
Frigidaire,Standard size dishwasher,WQP8-7740-US,FFBD1831**,270.0,3.5,8.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/
Kenmore,Standard size dishwasher,WQP8-7740-US,587.146428J,270.0,3.5,8.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/
Electrolux,Standard size dishwasher,WQP8-7740-US,EIDW1815**,270.0,3.5,8.0,No,No,https://www.electroluxappliances.com/Kitchen-Appliances/Dishwashers/
Crosley Professional,Standard size dishwasher,PDT660#,ZDM6502AS,249.0,3.5,14.0,No,No,https://www.crosley.com/uploads/1/0/8/1/108167455/zdm6502as_energy_guide_final.png
Bertazzoni,Standard size dishwasher,PDT660#,DW24XT,249.0,3.5,14.0,No,No,https://us.bertazzoni.com/downloads/5874/5968/Energy%20guide%20USA.pdf?act=download
Bertazzoni,Standard size dishwasher,PDT660#,DW24XV,249.0,3.5,14.0,No,No,https://us.bertazzoni.com/downloads/5875/5974/Energy%20guide%20USA.pdf?act=download
Summit,Standard size dishwasher,DDS25842X,DW18SS4**,220.0,2.4,8.0,No,No,https://eguides.fsiworldwide.com/label/326.pdf
Cove,Standard size dishwasher,DW2450,DW2450,262.0,3.1,10.0,No,No,https://www.subzero-wolf.com/-/media/files/united-states/product-downloads/sub-zero-wolf/energy-guides/dw2450-energy-guide.pdf
Cove,Standard size dishwasher,DW2410,DW2410,240.0,2.8,10.0,No,No,By annual report date
Miele,Standard size dishwasher,G 7916 SCi,G 7516 SCi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7566 SCVi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7566 SCVi SF,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7591 SCVi,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,G 7158 SCVi SFP,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5006 SCU,G 5216 SCU,230.0,3.2,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,PFD 101,270.0,3.3,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,PFD 101i,270.0,3.3,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 7916 SCi,PFD 101U,270.0,3.3,16.0,No,No,https://www.miele.com/
Miele,Standard size dishwasher,G 5482 SCVi SL,PFD 102i,270.0,3.3,16.0,No,No,https://www.miele.com/
Frigidaire Professional,Standard size dishwasher,PDSH4816F,PDSH4816****,240.0,3.2,14.0,No,No,By annual report date
Frigidaire Gallery,Standard size dishwasher,PDSH4816F,GDSP4715****,240.0,3.2,14.0,No,No,By annual report date
SUMMIT,Standard size dishwasher,DW21UT22N224,DW184B**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/561.pdf
SUMMIT,Standard size dishwasher,DW21UT22N224,ADADW18B**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/562.pdf
SUMMIT,Standard size dishwasher,DW21UT22N224,ADADW18SS**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/566.pdf
SUMMIT,Standard size dishwasher,DW21UT22N224,DW186NTADA**,250.0,3.2,10.0,No,No,https://eguides.fsiworldwide.com/label/567.pdf
Summit,Standard size dishwasher,DW11UT22T124,DW242W**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/423.pdf
Summit,Standard size dishwasher,DW11UT22T124,DW243B**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/424.pdf
Summit,Standard size dishwasher,DW11UT22T124,DW244SS**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/429.pdf
Summit,Standard size dishwasher,DW11UT22T124,DW245NT**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/432.pdf
Summit,Standard size dishwasher,DW11UT22T124,LDW24SSA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/430.pdf
Summit,Standard size dishwasher,DW11UT22T124,LDW24NTA**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/433.pdf
Summit,Standard size dishwasher,DW11UT22T124,ADADW24NT**,260.0,3.4,10.0,No,No,https://eguides.fsiworldwide.com/label/434.pdf
"VIKING RANGE, LLC",Standard size dishwasher,DWT 81900 SSWS,FDWU524WS,256.0,3.0,12.0,No,No,By annual report date
"VIKING RANGE, LLC",Standard size dishwasher,DWT 52800 SSIH,VDWU324SS,225.0,2.4,12.0,No,No,By annual report date
"VIKING RANGE, LLC",Standard size dishwasher,DDT39434X,VDWU724SS,230.0,2.5,12.0,No,No,By annual report date
"VIKING RANGE, LLC",Standard size dishwasher,DWT 81900 SS,FDWU524,225.0,2.4,12.0,No,No,By annual report date
"VIKING RANGE, LLC",Standard size dishwasher,DWT 81900 SS,VDWU524SS,225.0,2.4,12.0,No,No,By annual report date
"VIKING RANGE, LLC",Standard size dishwasher,DWT 81900 SSWS,VDWU524WSSS,256.0,3.0,12.0,No,No,By annual report date
Fulgor Milano,Standard size dishwasher,DWT 52800 SSIH,F6DWT24SS2,225.0,2.4,12.0,No,No,By annual report date
Fulgor Milano,Standard size dishwasher,DWT 52800 SSIH,F6DWT24FI2,225.0,2.4,12.0,No,No,By annual report date
Blomberg,Standard size dishwasher,DDS25842X,DWS 51502 ****,220.0,2.4,8.0,No,No,By annual report date
Blomberg,Standard size dishwasher,DWT 81900 SSWS,DWT 81900 ***WS,256.0,3.0,12.0,No,No,By annual report date
Blomberg,Standard size dishwasher,DWT 51600 FBI,DWT 25504 ****,234.0,2.7,12.0,No,No,By annual report date
Big Chill,Standard size dishwasher,DWT 81900 SS,BC24DW,225.0,2.4,12.0,No,No,By annual report date
Beko,Standard size dishwasher,DWT 51600 FBI,DIT25401,234.0,2.7,12.0,No,No,https://www.beko.com/content/dam/united-states-us-aem/united-states-us-aemProductCatalog/product-documents/7663869580-DIT25401/en-US-7663869580-202212281100163-ENERGY-LABEL-1en-US.pdf
Beko,Standard size dishwasher,DWT 52800 SSIH,DDT38530***,225.0,2.4,12.0,No,No,https://www.beko.com/content/dam/united-states-us-aem/united-states-us-aemProductCatalog/product-documents/7656269580-DDT38530X/en-US-7656269580-202212091419896-ENERGY-LABEL-1en-US.pdf
Beko,Standard size dishwasher,DDT38532XIH,DDT38532***,230.0,2.4,12.0,No,No,https://www.beko.com/content/dam/united-states-us-aem/united-states-us-aemProductCatalog/product-documents/7620209580-DDT38532X/en-US-7620209580-202212281115506-ENERGY-LABEL-1en-US.pdf
Beko,Standard size dishwasher,DDT38532XIH,DDT38532*****,230.0,2.4,12.0,No,No,https://www.beko.com/content/dam/united-states-us-aem/united-states-us-aemProductCatalog/product-documents/7620209580-DDT38532X/en-US-7620209580-202212281115506-ENERGY-LABEL-1en-US.pdf
Hisense,Standard size dishwasher,HUI66360XCUS,HUI66360XCUS,239.0,3.2,14.0,No,No,https://www.hisense-usa.com/compliance/energy-guide-page
ASKO,Standard size dishwasher,DBI565*,DFI564*,220.0,3.0,16.0,No,No,https://us.asko.com/products/kitchen/dishwashers
ASKO,Standard size dishwasher,DFI776*,DBI776*,220.0,3.0,17.0,No,No,https://us.asko.com/products/kitchen/dishwashers
Element,Standard size dishwasher,PDT660#,ENB6632PE**,249.0,3.5,14.0,No,No,https://elementelectronics.com/energy-guides
Midea,Standard size dishwasher,PDT660#,MDF24P3A**,260.0,3.5,14.0,No,No,By annual report date
Midea,Standard size dishwasher,PDT660#,MDF24P1A**,260.0,3.5,14.0,No,No,https://www.midea.com/content/dam/midea-aem/us/doe/???WQP12-W6508C-Midea-???.pdf
Midea,Standard size dishwasher,WQP12-7739-US,MDF24A2A**,234.0,3.5,10.0,No,No,https://www.midea.com/content/dam/midea-aem/us/doe/Z?r?Z?O?L?dMDF24A2ABB-AST-AWW-WQP12-7735Q-US-Midea.pdf
Comfee,Compact dishwasher,WQP4-2501A-US,CDC22P4A**,203.0,3.1,3.0,No,No,By annual report date
Comfee,Compact dishwasher,WQP4-2605-US,CDC17P2A**,130.0,1.4,1.0,No,No,https://www.amazon.com/dp/B09QC9947J
Comfee,Compact dishwasher,WQP6-3601-US,CDC22P1A**,203.0,3.1,6.0,No,No,https://www.amazon.com/dp/B09ST4M8VF
Midea,Standard size dishwasher,PDT660#,MDT24H3A**,260.0,3.5,14.0,No,No,http://pdf.lowes.com/energyguides/817986026784.pdf
Midea,Standard size dishwasher,PDT660#,MDT24H2A**,260.0,3.5,14.0,No,No,https://www.midea.com/content/dam/midea-aem/us/doe/Z?r?Z?O?L?dMDT24H2AST-6508A-MDIEA.pdf
Midea,Standard size dishwasher,MDT24P5A**,MDT24P5A**,260.0,3.2,14.0,No,No,http://pdf.lowes.com/productdocuments/ca1a73c0-18e7-4f6f-bdd0-2265cf32ead9/46553606.pdf
Danby,Standard size dishwasher,DDW1804EW,DDW1804EW,234.0,3.1,8.0,No,No,https://www.danby.com/product-resources/
Danby,Standard size dishwasher,DDW2404EBSS,DDW2404EBSS,234.0,3.5,10.0,No,No,https://www.danby.com/product-resources/
Danby,Standard size dishwasher,DDW18D1EB,DDW18D1EB,250.0,3.2,10.0,No,No,https://www.danby.com/en-us/product-resources/
Danby,Compact dishwasher,DDW631SDB,DDW631SDB,203.0,3.1,6.0,No,No,https://www.danby.com/product-resources/
Danby,Compact dishwasher,DDW621WDB,DDW621WDB,203.0,3.1,6.0,No,No,https://www.danby.com/product-resources/
INSIGNIA,Standard size dishwasher,WQP12-6503,NS-DWRF2*****,240.0,3.1,14.0,No,No,https://www.bestbuy.com/
INSIGNIA,Standard size dishwasher,WQP12-6503,NS-DWH1***,240.0,3.1,14.0,No,No,https://www.bestbuy.com/
Bosch,Standard size dishwasher,SHE863WF2N,SHEM63W5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHP865YP5N,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX89PW55N,SHV89PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHX89PW55N,SHX89PW5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP865WD**,SHP865WG5N,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHPM98W75N,SHPM98W7**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHPM65W5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHXM65W5**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHP865W7**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHV863WB**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE863WF2N,SHX863WB**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHE89PW75N,SHE89PW7**,269.0,2.9,12.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHP865ZD**,SHP865ZD**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHXM78Z5**,SHX878ZD**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHXM78Z5**,SHVM78Z5**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHXM78Z5**,SHEM78ZH**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHXM78Z5**,SHEM78Z5**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
Bosch,Standard size dishwasher,SHXM78Z5**,SHE878ZD**,269.0,3.5,16.0,No,No,http://www.bshenergyguides.com
